Rank,Title,Popularity,Genre,Studio,Type,Episodes,Duration,Start_date,End_date,Members,Score
75,Suzume no Tojimari,1517,Fantasy,CoMix Wave Films,Movie,1,121,Nov-22,Nov-22,"132,505",8.63
76,Tengen Toppa Gurren Lagann,64,"Action, Adventure, Award Winning, Sci-Fi",Gainax,TV,27,24,Apr-07,Sep-07,"1,526,623",8.63
77,Mo Dao Zu Shi: Wanjie Pian,2375,"Action, Adventure, Drama, Fantasy, Mystery",B.CMAY PICTURES,ONA,12,24,Aug-21,Oct-21,"68,971",8.62
78,Natsume Yuujinchou Roku,1235,"Drama, Slice of Life, Supernatural",Shuka,TV,11,23,Apr-17,Jun-17,"174,484",8.62
79,Ping Pong the Animation,567,"Award Winning, Drama, Sports",Tatsunoko Production,TV,11,23,Apr-14,Jun-14,"367,423",8.62
80,Shingeki no Kyojin Season 3,18,"Action, Drama",Wit Studio,TV,12,23,Jul-18,Oct-18,"2,156,970",8.62
81,Cyberpunk: Edgerunners,389,"Action, Sci-Fi",Trigger,ONA,10,25,Sep-22,Sep-22,"509,453",8.62
82,Death Note,2,"Supernatural, Suspense",Madhouse,TV,37,23,Oct-06,Jun-07,"3,646,544",8.62
83,Evangelion: 3.0+1.0 Thrice Upon a Time,639,"Action, Award Winning, Drama, Sci-Fi, Suspense",Khara,Movie,1,155,Mar-21,Mar-21,"335,420",8.61
84,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,284,"Drama, Romance, Supernatural",CloverWorks,Movie,1,90,Jun-19,Jun-19,"647,621",8.61
85,Suzumiya Haruhi no Shoushitsu,333,"Award Winning, Mystery, Sci-Fi, Supernatural",Kyoto Animation,Movie,1,161,Feb-10,Feb-10,"583,308",8.61
86,Mushishi Zoku Shou: Suzu no Shizuku,1636,"Adventure, Fantasy, Mystery, Slice of Life, Supernatural",Artland,Movie,1,47,May-15,May-15,"121,292",8.6
87,Hajime no Ippo: Rising,922,Sports,"Madhouse, MAPPA",TV,25,22,Oct-13,Mar-14,"235,267",8.59
88,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,154,"Action, Adventure, Supernatural",David Production,TV,39,23,Oct-18,Jul-19,"932,997",8.58
89,Kizumonogatari II: Nekketsu-hen,486,"Action, Mystery, Supernatural",Shaft,Movie,1,64,Aug-16,Aug-16,"417,993",8.58
90,Natsume Yuujinchou San,905,"Drama, Slice of Life, Supernatural",Brain's Base,TV,13,24,Jul-11,Sep-11,"240,209",8.58
91,Ookami Kodomo no Ame to Yuki,219,"Award Winning, Fantasy, Slice of Life",Studio Chizu,Movie,1,117,Jul-12,Jul-12,"772,640",8.58
92,Natsume Yuujinchou Go,1238,"Drama, Slice of Life, Supernatural",Shuka,TV,11,23,Oct-16,Dec-16,"173,807",8.57
93,Shouwa Genroku Rakugo Shinjuu,788,Drama,Studio Deen,TV,13,26,Jan-16,Apr-16,"278,102",8.57
94,Tengen Toppa Gurren Lagann Movie 2: Lagann-hen,1065,"Action, Sci-Fi",Gainax,Movie,1,125,Apr-09,Apr-09,"204,257",8.57
