Rank,Title,Popularity,Genre,Studio,Type,Episodes,Duration,Start_date,End_date,Members,Score
213,Bakemonogatari,83,"Mystery, Romance, Supernatural",Shaft,TV,15,25,Jul-09,Jun-10,"1,339,481",8.33
214,Dr. Stone: Ryuusui,1205,"Adventure, Comedy, Sci-Fi",TMS Entertainment,Special,1,54,Jul-22,Jul-22,"177,986",8.33
215,Given,380,"Boys Love, Drama, Romance",Lerche,TV,11,22,#VALUE!,#VALUE!,,8.33
216,Gotcha!,3860,Fantasy,Bones,Music,1,3,#VALUE!,#VALUE!,,8.33
217,Kidou Senshi Gundam: The Origin,2401,"Action, Sci-Fi",Sunrise,OVA,6,71,Feb-15,May-18,"68,029",8.33
218,Kingdom 2nd Season,1700,Action,Pierrot,TV,39,25,Jun-13,Mar-14,"115,407",8.33
219,Uchuu Senkan Yamato 2199,1772,"Action, Drama, Sci-Fi","Xebec, AIC",OVA,26,25,May-12,Oct-13,"109,983",8.33
220,Versailles no Bara,2021,"Drama, Romance",Tokyo Movie Shinsha,TV,40,24,Oct-79,Sep-80,"90,398",8.33
221,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",714,"Drama, Fantasy",Kyoto Animation,Special,1,34,Jul-18,Jul-18,"302,603",8.33
222,Major S6,2575,Sports,SynergySP,TV,25,24,Apr-10,Sep-10,"60,276",8.33
223,Natsume Yuujinchou: Itsuka Yuki no Hi ni,2239,"Drama, Slice of Life, Supernatural",Brain's Base,OVA,1,23,Feb-14,Feb-14,"76,401",8.33
224,One Outs,954,Sports,Madhouse,TV,25,23,Oct-08,Apr-09,"226,114",8.33
225,Kobayashi-san Chi no Maid Dragon S,395,"Fantasy, Slice of Life",Kyoto Animation,TV,12,23,Jul-21,Sep-21,"505,995",8.32
226,Natsume Yuujinchou Go Specials,3095,"Drama, Slice of Life, Supernatural",Shuka,Special,2,23,Mar-17,Apr-17,"42,738",8.32
227,Ookami to Koushinryou II,428,"Adventure, Fantasy, Romance","Brain's Base, Marvy Jack",TV,12,24,Jul-09,Sep-09,"469,580",8.32
228,Romeo no Aoi Sora,2935,"Adventure, Drama, Slice of Life",Nippon Animation,TV,33,23,Jan-95,Dec-95,"47,115",8.32
229,Tensei shitara Slime Datta Ken 2nd Season Part 2,283,"Action, Adventure, Comedy, Fantasy",8bit,TV,12,23,Jul-21,Sep-21,"652,985",8.32
230,Fate/stay night: Unlimited Blade Works 2nd Season,194,"Action, Fantasy, Supernatural",ufotable,TV,13,24,Apr-15,Jun-15,"808,708",8.32
231,Initial D First Stage,620,"Action, Drama","Gallop, Studio Comet",TV,26,25,Apr-98,Dec-98,"343,120",8.32
232,Katanagatari,362,"Action, Adventure, Romance",White Fox,TV,12,50,Jan-10,Dec-10,"539,069",8.32
233,Kawaki wo Ameku,3893,,,Music,1,4,Jan-19,Jan-19,"27,496",8.32
234,Kemono no Souja Erin,2128,"Drama, Fantasy","Production I.G, Trans Arts",TV,50,25,Jan-09,Dec-09,"82,493",8.32
235,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,63,"Drama, Supernatural",A-1 Pictures,TV,11,22,Apr-11,Jun-11,"1,533,937",8.31
236,Boku dake ga Inai Machi,30,"Mystery, Supernatural, Suspense",A-1 Pictures,TV,12,23,Jan-16,Mar-16,"1,957,605",8.31
237,Evangelion: 2.0 You Can (Not) Advance,392,"Action, Drama, Sci-Fi",Khara,Movie,1,112,Jul-09,Jul-09,"507,389",8.31
238,Hunter x Hunter: Original Video Animation,1637,"Action, Adventure, Fantasy",Nippon Animation,OVA,8,24,Jan-02,Apr-02,"121,184",8.31
239,IDOLiSH7 Third Beat! Part 2,5794,Drama,TROYCA,TV,17,24,Oct-22,Feb-23,"10,566",8.31
240,Natsume Yuujinchou,387,"Drama, Slice of Life, Supernatural",Brain's Base,TV,13,24,Jul-08,Sep-08,"511,249",8.31
241,NHK ni Youkoso!,255,"Comedy, Drama, Romance",Gonzo,TV,24,24,Jul-06,Dec-06,"695,211",8.31
242,Sakamichi no Apollon,577,"Drama, Romance","Tezuka Productions, MAPPA",TV,12,22,Apr-12,Jun-12,"364,061",8.31
243,Shelter (Music),677,Sci-Fi,A-1 Pictures,Music,1,6,Oct-16,Oct-16,"316,898",8.31
244,Kuroko no Basket 3rd Season,242,Sports,Production I.G,TV,25,24,Jan-15,Jun-15,"715,614",8.3
245,Tenki no Ko,161,"Award Winning, Drama, Fantasy, Romance",CoMix Wave Films,Movie,1,112,Jul-19,Jul-19,"897,817",8.3
246,Blue Lock,439,Sports,8bit,TV,24,24,Oct-22,Mar-23,"459,426",8.3
247,Detective Conan Movie 06: The Phantom of Baker Street,2289,"Adventure, Mystery",TMS Entertainment,Movie,1,107,Apr-02,Apr-02,"73,487",8.3
248,Diamond no Ace: Second Season,1541,Sports,"Production I.G, Madhouse",TV,51,24,Apr-15,Mar-16,"130,376",8.3
249,Hibike! Euphonium 2,1017,Drama,Kyoto Animation,TV,13,23,Oct-16,Dec-16,"213,707",8.3
250,Ashita no Joe,2112,"Drama, Sports",Mushi Production,TV,79,25,Apr-70,Sep-71,"83,604",8.29
